price,home_type,bedrooms,bathrooms,square_feet,built,county,zipcode,high_school
549900,Single Family - Bungalow,4,3.0,2603,1921,Multnomah,97213,Madison
549900,Single Family - Bungalow,3,2.0,2054,1911,Multnomah,97211,Jefferson
549900,Single Family - Contemporary,3,3.0,1725,2020,Multnomah,97206,Cleveland
549999,Single Family - Bungalow,4,2.0,2608,1949,Multnomah,97213,Madison
550000,Condo - Contemporary,2,2.0,1189,2004,Multnomah,97209,Lincoln
550000,Floating Home - Contemporary,3,3.0,2282,1967,Multnomah,97217,Jefferson
550000,Floating Home - Bungalow,1,1.0,748,1966,Multnomah,97219,Wilson
550000,Single Family - Farmhouse,5,2.0,2180,1900,Washington,97224,Tigard
550000,Single Family - Ranch,3,1.0,1111,1973,Multnomah,97210,Lincoln
550000,Single Family - Tri Level,7,3.0,2672,1914,Multnomah,97213,Grant
550000,Single Family - Cottage,3,2.0,1968,1927,Multnomah,97213,Madison
550000,Single Family - Bungalow,4,2.0,1800,1909,Multnomah,97211,Jefferson
550000,Single Family - A-Frame,5,1.0,2012,1949,Multnomah,97216,David Douglas
550000,Single Family - Mid-Century Modern,3,2.0,2296,1950,Multnomah,97211,Jefferson
555000,Single Family - English,4,2.0,2632,1929,Multnomah,97212,Grant
555000,Single Family - 2 Story,3,3.0,2206,2003,Multnomah,97219,Wilson
558000,Single Family - Traditional,4,3.0,2630,2004,Washington,97229,Sunset
559000,Condo - Contemporary,2,2.0,1004,2006,Multnomah,97201,Lincoln
559000,Single Family - Traditional,4,3.0,2546,2002,Washington,97229,Sunset
559000,Single Family - Capecod,3,2.0,1920,1945,Multnomah,97202,Franklin
559900,Single Family - 2 Story,7,7.0,3183,1918,Multnomah,97219,Wilson
559900,Single Family - Bungalow,3,3.0,1870,1928,Multnomah,97213,Madison
559900,Single Family - Ranch,4,3.0,2449,1957,Multnomah,97266,David Douglas
559900,Single Family - Mid-Century Modern,3,2.0,2364,1956,Multnomah,97206,Franklin
560000,Condo - Traditional,3,3.0,2209,2005,Washington,97225,Beaverton
560000,Single Family - Bungalow,3,2.0,1782,1911,Multnomah,97206,Cleveland
560000,Single Family - Craftsman,3,3.0,1901,2017,Multnomah,97203,Roosevelt
560000,Single Family - Farmhouse,4,2.0,1970,1897,Multnomah,97219,Wilson
560000,Single Family - Ranch,3,2.0,1952,1995,Multnomah,97219,Wilson
564000,Condo - Contemporary,1,1.0,1084,2018,Multnomah,97209,Lincoln
564900,Single Family - 2 Story,4,3.0,2035,2013,Washington,97229,Sunset
564900,Single Family - Traditional,4,3.0,2763,2016,Multnomah,97236,Centennial
564900,Single Family - Contemporary,3,3.0,1802,2020,Multnomah,97203,Roosevelt
565000,Single Family - 2 Story,4,3.0,2543,1979,Multnomah,97230,Reynolds
565000,Single Family - Traditional,3,3.0,1564,1988,Multnomah,97221,Wilson
565000,Single Family - Traditional,4,3.0,2565,1999,Washington,97229,Westview
565000,Single Family - 2 Story,3,2.0,2675,1907,Multnomah,97210,Lincoln
565000,Single Family - Daylight Ranch,4,4.0,4322,1965,Multnomah,97230,Parkrose
565000,Single Family - Daylight Ranch,4,3.0,3011,1961,Multnomah,97219,Wilson
569000,Single Family - Traditional,4,2.0,2186,1953,Multnomah,97211,Jefferson
569800,Single Family - Traditional,4,3.0,2122,1995,Washington,97229,Sunset
569950,Single Family - FourSquare,3,3.0,2175,2014,Multnomah,97206,Franklin
571500,Condo - Contemporary,1,1.0,1088,2018,Multnomah,97209,Lincoln
574000,Condo - Contemporary,2,2.0,1182,2006,Multnomah,97209,Lincoln
574900,Condo - Common Wall,3,4.0,1796,2020,Multnomah,97206,Franklin
574900,Condo - Contemporary,3,3.0,1998,2017,Multnomah,97232,Grant
574900,Single Family - Bungalow,5,2.0,2194,1929,Multnomah,97213,Madison
574900,Single Family - Traditional,4,3.0,2523,1923,Multnomah,97213,Madison
574999,Single Family - Traditional,4,3.0,1874,1911,Multnomah,97214,Franklin
575000,Condo - Contemporary,2,2.0,1319,1973,Multnomah,97201,Lincoln
575000,Single Family - Capecod,5,2.0,2688,1960,Multnomah,97231,Lincoln
575000,Single Family - Daylight Ranch,6,3.0,3831,1962,Multnomah,97221,Wilson
575000,Single Family - Traditional,5,4.0,3820,2007,Multnomah,97236,David Douglas
575000,Single Family - FourSquare,5,2.0,3595,1915,Multnomah,97220,Parkrose
575000,Single Family - Ranch,4,2.0,2336,1965,Multnomah,97219,Wilson
575000,Single Family - 2 Story,3,2.0,2332,1955,Multnomah,97215,Franklin
576000,Condo - 2 Story,6,6.0,2454,2020,Multnomah,97236,David Douglas
579000,Single Family - Dutch Colonial,3,2.0,2872,1936,Multnomah,97219,Wilson
579000,Single Family - Split,3,3.0,2254,1975,Multnomah,97221,Lincoln
579000,Single Family - Daylight Ranch,5,2.0,2772,1950,Multnomah,97219,Wilson
579000,Single Family - Craftsman,4,3.0,2158,2013,Multnomah,97203,Roosevelt
579000,Single Family - 2 Story,4,4.0,2766,2015,Multnomah,97233,Reynolds
579900,Single Family - 2 Story,3,3.0,1693,2020,Multnomah,97206,Cleveland
579900,Single Family - Daylight Ranch,4,3.0,3762,1962,Multnomah,97221,Wilson
579900,Single Family - Ranch,6,2.0,2258,1956,Multnomah,97222,Cleveland
580000,Single Family - Ranch,4,2.0,2186,1962,Multnomah,97215,Franklin
580000,Single Family - Craftsman,4,3.0,2536,2019,Multnomah,97206,Franklin
580000,Single Family - Cottage,3,3.0,1976,2006,Multnomah,97202,Cleveland
585000,Single Family - Traditional,3,3.0,2341,1910,Multnomah,97239,Wilson
585000,Single Family - Traditional,5,4.0,3650,1951,Multnomah,97206,Cleveland
585000,Single Family - Contemporary,4,3.0,2546,1971,Multnomah,97219,Wilson
585000,Single Family - Traditional,4,3.0,2217,2012,Multnomah,97217,Jefferson
585000,Single Family - Split,3,3.0,1935,1968,Multnomah,97202,Cleveland
589000,Single Family - Capecod,3,2.0,2036,1927,Multnomah,97202,Cleveland
589000,Single Family - Ranch,4,3.0,2655,1916,Multnomah,97219,Wilson
589000,Single Family - Bungalow,4,2.0,2498,1946,Multnomah,97202,Cleveland
589900,Single Family - Contemporary,3,3.0,1687,2016,Multnomah,97211,Jefferson
589900,Single Family - Contemporary,3,3.0,1802,2020,Multnomah,97206,Cleveland
589950,Single Family - Contemporary,7,3.0,2772,1989,Multnomah,97219,Wilson
590000,Single Family - Bungalow,6,2.0,2584,1910,Multnomah,97213,Grant
590000,Single Family - Traditional,3,3.0,2252,1996,Multnomah,97219,Wilson
594900,Single Family - 2 Story,5,3.0,2312,2001,Washington,97229,Sunset
595000,Single Family - Traditional,4,3.0,2622,1986,Washington,97229,Westview
595000,Single Family - Custom Style,3,3.0,2120,1925,Multnomah,97239,Wilson
595000,Single Family - Contemporary,3,3.0,1752,1973,Multnomah,97219,Wilson
598900,Single Family - FourSquare,3,3.0,1661,2020,Multnomah,97211,Jefferson
599000,Condo - 2 Story,2,3.0,2024,1980,Multnomah,97217,Jefferson
599000,Condo - Bungalow,3,2.0,1264,1927,Multnomah,97202,Cleveland
599000,Single Family - Capecod,3,3.0,2777,1941,Multnomah,97217,Jefferson
599000,Single Family - Contemporary,3,3.0,1682,2020,Multnomah,97211,Jefferson
599000,Single Family - Saltbox,3,2.0,1724,1948,Multnomah,97219,Riverdale
599000,Single Family - Daylight Ranch,4,2.0,2212,1971,Multnomah,97219,Wilson
599000,Single Family - FourSquare,4,3.0,2890,2012,Multnomah,97217,Roosevelt
599000,Single Family - Bungalow,5,2.0,4169,1918,Multnomah,97219,Wilson
599000,Single Family - Bungalow,3,2.0,2428,1911,Multnomah,97215,Franklin
599500,Single Family - Contemporary,6,5.0,2326,2018,Multnomah,97236,David Douglas
599500,Single Family - Bungalow,4,3.0,2016,1927,Multnomah,97202,Franklin
599900,Condo - Townhouse,2,3.0,1489,2006,Multnomah,97209,Lincoln
599900,Condo - Traditional,2,2.0,1202,2007,Multnomah,97210,Lincoln
599900,Single Family - Victorian,4,2.0,2018,1926,Multnomah,97212,Grant
599900,Single Family - NW Contemporary,5,4.0,2735,2015,Washington,97229,Westview
599900,Single Family - Bungalow,4,2.0,2424,1916,Multnomah,97211,Grant
599900,Single Family - Traditional,3,3.0,2107,1988,Washington,97223,Southridge
599900,Single Family - 2 Story,3,3.0,1693,2020,Multnomah,97202,Cleveland
599900,Single Family - Daylight Ranch,4,3.0,3130,1971,Multnomah,97239,Wilson
599900,Single Family - Daylight Ranch,4,2.0,3472,1955,Multnomah,97202,Cleveland
599900,Single Family - FourSquare,4,3.0,2252,2015,Multnomah,97214,Franklin
599900,Single Family - Bungalow,5,3.0,2347,1947,Multnomah,97217,Jefferson
599900,Single Family - Farmhouse,3,3.0,3395,1917,Multnomah,97219,Wilson
599950,Single Family - 2 Story,5,3.0,3110,1974,Washington,97229,Westview
599999,Single Family - 2 Story,3,6.0,2400,2009,Multnomah,97203,Roosevelt
600000,Single Family - Contemporary,2,3.0,3060,1982,Multnomah,97217,Jefferson
600000,Single Family - Bungalow,3,2.0,2544,1917,Multnomah,97213,Grant
605000,Condo - 1 Story,1,2.0,1170,2007,Multnomah,97239,Wilson
609000,Single Family - Traditional,4,4.0,3050,1966,Multnomah,97266,David Douglas
609000,Single Family - Tudor,4,2.0,2227,1931,Multnomah,97215,Franklin
609000,Single Family - Ranch,2,2.0,2280,1954,Multnomah,97215,Franklin
609900,Condo - Townhouse,5,4.0,2415,2018,Multnomah,97202,Cleveland
609900,Condo - NW Contemporary,5,4.0,2390,2018,Multnomah,97211,Jefferson
609900,Condo - Townhouse,5,4.0,2390,2018,Multnomah,97211,Jefferson
609900,Condo - Townhouse,5,4.0,2415,2018,Multnomah,97202,Cleveland
610000,Single Family - Contemporary,4,3.0,2407,1997,Washington,97229,Westview
610000,Single Family - FourSquare,3,1.0,2749,1908,Multnomah,97214,Franklin
614000,Single Family - Bungalow,3,2.0,2328,1952,Multnomah,97219,Wilson
614900,Single Family - Traditional,4,3.0,2920,1995,Multnomah,97219,Wilson
614990,Single Family - Traditional,4,3.0,2698,2003,Washington,97229,Sunset
615000,Condo - Traditional,3,3.0,1788,2008,Multnomah,97205,Lincoln
615000,Single Family - Traditional,3,3.0,3381,1915,Multnomah,97219,Wilson
